resultId,raceId,driverId,statusId,status,year
14106,573,229,3,Accident,1976
14107,573,278,3,Accident,1976
14105,573,232,3,Accident,1976
13313,545,172,3,Accident,1977
13337,546,239,3,Accident,1977
13336,546,199,3,Accident,1977
13311,545,207,3,Accident,1977
13314,545,252,3,Accident,1977
13289,544,223,3,Accident,1977
13269,543,246,3,Accident,1977
13338,546,230,3,Accident,1977
13290,544,230,3,Accident,1977
13288,544,238,3,Accident,1977
13287,544,200,3,Accident,1977
13284,544,221,3,Accident,1977
13283,544,172,3,Accident,1977
13282,544,187,3,Accident,1977
13279,544,250,3,Accident,1977
13534,553,211,3,Accident,1977
13542,553,239,3,Accident,1977
13546,553,178,3,Accident,1977
13594,555,230,3,Accident,1977
13598,555,255,3,Accident,1977
13604,555,211,3,Accident,1977
13605,555,231,3,Accident,1977
13608,555,200,3,Accident,1977
13569,554,208,3,Accident,1977
13577,554,251,3,Accident,1977
13578,554,223,3,Accident,1977
13449,550,222,3,Accident,1977
13412,549,200,3,Accident,1977
13415,549,199,3,Accident,1977
13416,549,211,3,Accident,1977
13417,549,119,3,Accident,1977
13418,549,251,3,Accident,1977
13420,549,207,3,Accident,1977
13421,549,187,3,Accident,1977
13510,552,251,3,Accident,1977
13513,552,211,3,Accident,1977
13472,551,222,3,Accident,1977
13473,551,233,3,Accident,1977
13476,551,221,3,Accident,1977
13478,551,259,3,Accident,1977
13479,551,197,3,Accident,1977
13725,559,207,4,Collision,1977
13726,559,274,4,Collision,1977
13727,559,246,4,Collision,1977
13722,559,238,3,Accident,1977
13723,559,203,3,Accident,1977
13355,547,211,3,Accident,1977
13354,547,178,3,Accident,1977
13361,547,223,3,Accident,1977
13362,547,230,3,Accident,1977
13363,547,182,73,Injured,1977
13640,556,187,3,Accident,1977
13637,556,230,3,Accident,1977
13683,558,230,3,Accident,1977
13690,558,231,3,Accident,1977
13693,558,211,3,Accident,1977
13694,558,246,3,Accident,1977
13699,558,255,3,Accident,1977
13702,558,223,3,Accident,1977
13671,557,255,3,Accident,1977
13672,557,233,3,Accident,1977
13673,557,251,3,Accident,1977
13675,557,240,3,Accident,1977
13676,557,178,3,Accident,1977
12828,528,211,3,Accident,1978
12849,529,175,3,Accident,1978
12827,528,221,3,Accident,1978
12824,528,238,4,Collision,1978
12823,528,222,3,Accident,1978
13125,538,207,3,Accident,1978
13124,538,222,3,Accident,1978
13123,538,137,3,Accident,1978
13121,538,229,3,Accident,1978
13120,538,119,3,Accident,1978
13119,538,178,3,Accident,1978
13118,538,231,3,Accident,1978
13117,538,202,3,Accident,1978
13116,538,182,3,Accident,1978
13113,538,233,3,Accident,1978
13112,538,175,3,Accident,1978
13122,538,212,3,Accident,1978
13156,539,202,3,Accident,1978
13155,539,119,3,Accident,1978
13150,539,177,3,Accident,1978
13093,537,221,3,Accident,1978
13092,537,233,3,Accident,1978
13091,537,200,3,Accident,1978
13087,537,175,3,Accident,1978
13244,542,224,3,Accident,1978
13243,542,233,3,Accident,1978
13241,542,187,3,Accident,1978
13187,540,230,3,Accident,1978
13186,540,239,3,Accident,1978
13185,540,233,3,Accident,1978
13184,540,202,3,Accident,1978
13183,540,238,3,Accident,1978
12948,532,224,3,Accident,1978
12947,532,231,3,Accident,1978
12946,532,182,3,Accident,1978
12945,532,187,3,Accident,1978
12929,532,172,3,Accident,1978
12912,531,233,3,Accident,1978
12906,531,203,3,Accident,1978
12877,530,222,3,Accident,1978
12876,530,175,3,Accident,1978
12880,530,203,3,Accident,1978
12886,530,231,3,Accident,1978
12888,530,233,3,Accident,1978
12887,530,211,3,Accident,1978
13064,536,231,3,Accident,1978
12972,533,199,3,Accident,1978
13007,534,230,3,Accident,1978
13006,534,202,3,Accident,1978
12712,524,187,3,Accident,1979
12715,524,137,3,Accident,1979
12689,523,223,3,Accident,1979
12763,526,223,3,Accident,1979
12766,526,177,3,Accident,1979
12768,526,197,3,Accident,1979
12741,525,163,3,Accident,1979
12742,525,233,3,Accident,1979
12422,513,175,4,Collision,1979
12424,513,137,3,Accident,1979
12396,512,222,4,Collision,1979
12397,512,202,4,Collision,1979
12398,512,175,4,Collision,1979
12399,512,137,4,Collision,1979
12400,512,232,4,Collision,1979
12401,512,119,3,Accident,1979
12661,522,136,3,Accident,1979
12636,521,199,3,Accident,1979
12549,518,182,3,Accident,1979
12550,518,202,3,Accident,1979
12553,518,163,3,Accident,1979
12531,517,223,3,Accident,1979
12581,519,137,3,Accident,1979
12527,517,173,3,Accident,1979
12520,517,231,3,Accident,1979
12478,515,175,4,Collision,1979
12465,515,212,3,Accident,1979
12466,515,206,3,Accident,1979
12477,515,182,3,Accident,1979
12526,517,152,3,Accident,1979
12446,514,233,3,Accident,1979
12448,514,172,3,Accident,1979
12450,514,173,3,Accident,1979
12451,514,221,3,Accident,1979
12452,514,136,3,Accident,1979
12519,517,221,3,Accident,1979
12100,501,207,3,Accident,1980
12101,501,217,3,Accident,1980
12140,503,173,3,Accident,1980
12098,501,173,3,Accident,1980
12142,503,202,3,Accident,1980
12143,503,163,3,Accident,1980
12148,503,152,3,Accident,1980
12149,503,197,3,Accident,1980
12150,503,117,3,Accident,1980
12151,503,206,3,Accident,1980
12097,501,197,3,Accident,1980
12090,501,152,3,Accident,1980
12017,498,197,4,Collision,1980
12005,498,203,3,Accident,1980
12091,501,178,3,Accident,1980
12089,501,223,3,Accident,1980
12074,500,117,3,Accident,1980
12075,500,176,3,Accident,1980
12066,500,177,3,Accident,1980
12314,509,224,3,Accident,1980
12311,509,206,3,Accident,1980
12362,511,203,3,Accident,1980
12373,511,110,3,Accident,1980
12343,510,119,3,Accident,1980
12344,510,206,3,Accident,1980
12345,510,191,3,Accident,1980
12277,508,152,3,Accident,1980
12281,508,230,3,Accident,1980
12282,508,209,3,Accident,1980
12286,508,173,3,Accident,1980
12287,508,202,3,Accident,1980
11714,488,110,4,Collision,1981
11705,488,105,4,Collision,1981
11706,488,152,4,Collision,1981
11715,488,207,4,Collision,1981
11687,487,119,4,Collision,1981
11688,487,216,4,Collision,1981
11678,487,212,3,Accident,1981
11682,487,178,3,Accident,1981
11684,487,137,3,Accident,1981
11773,490,178,4,Collision,1981
11747,489,137,3,Accident,1981
11750,489,110,3,Accident,1981
11591,484,117,4,Collision,1981
11593,484,202,4,Collision,1981
11595,484,163,4,Collision,1981
11596,484,207,4,Collision,1981
11597,484,192,4,Collision,1981
11592,484,216,3,Accident,1981
11557,483,152,4,Collision,1981
11558,483,172,4,Collision,1981
11560,483,136,4,Collision,1981
11567,483,117,4,Collision,1981
11568,483,110,4,Collision,1981
11562,483,213,3,Accident,1981
11563,483,95,3,Accident,1981
11566,483,173,3,Accident,1981
11556,483,212,3,Accident,1981
11648,486,105,4,Collision,1981
11649,486,213,4,Collision,1981
11650,486,152,4,Collision,1981
11651,486,158,4,Collision,1981
11656,486,215,3,Accident,1981
11920,495,105,3,Accident,1981
11918,495,187,3,Accident,1981
11896,494,175,4,Collision,1981
11897,494,203,4,Collision,1981
11884,494,207,3,Accident,1981
11985,497,175,3,Accident,1981
11947,496,117,4,Collision,1981
11948,496,95,4,Collision,1981
11951,496,197,4,Collision,1981
11957,496,163,4,Collision,1981
11894,494,202,4,Collision,1981
11891,494,199,4,Collision,1981
11890,494,172,4,Collision,1981
11806,491,178,4,Collision,1981
11868,493,203,3,Accident,1981
11838,492,110,4,Collision,1981
11229,472,177,4,Collision,1982
11300,474,152,4,Collision,1982
11301,474,95,4,Collision,1982
11304,474,209,4,Collision,1982
11263,473,182,4,Collision,1982
11265,473,152,4,Collision,1982
11268,473,195,4,Collision,1982
11269,473,119,4,Collision,1982
11273,473,196,4,Collision,1982
11274,473,184,4,Collision,1982
11214,471,203,3,Accident,1982
11211,471,152,4,Collision,1982
11127,468,182,4,Collision,1982
11128,468,163,4,Collision,1982
11129,468,199,4,Collision,1982
11130,468,173,4,Collision,1982
11105,467,197,4,Collision,1982
11099,467,118,3,Accident,1982
11161,469,207,4,Collision,1982
11164,469,163,4,Collision,1982
11212,471,194,4,Collision,1982
11165,469,152,4,Collision,1982
11167,469,181,4,Collision,1982
11166,469,194,4,Collision,1982
11481,480,175,82,Injury,1982
11450,479,206,4,Collision,1982
11451,479,110,4,Collision,1982
11452,479,152,4,Collision,1982
11537,482,95,4,Collision,1982
11541,482,197,3,Accident,1982
11508,481,206,4,Collision,1982
11509,481,118,4,Collision,1982
11510,481,205,4,Collision,1982
11359,476,197,4,Collision,1982
11360,476,192,4,Collision,1982
11362,476,119,4,Collision,1982
11363,476,163,4,Collision,1982
11364,476,170,4,Collision,1982
11414,478,137,4,Collision,1982
11415,478,194,4,Collision,1982
11423,478,202,3,Accident,1982
11390,477,184,4,Collision,1982
10785,456,196,4,Collision,1983
10779,456,118,4,Collision,1983
10786,456,181,4,Collision,1983
10787,456,105,4,Collision,1983
10788,456,95,4,Collision,1983
10778,456,176,4,Collision,1983
10819,457,197,4,Collision,1983
10818,457,187,4,Collision,1983
10844,458,181,4,Collision,1983
10702,453,197,4,Collision,1983
10705,453,175,4,Collision,1983
10706,453,177,4,Collision,1983
10676,452,184,4,Collision,1983
10758,455,193,4,Collision,1983
10764,455,105,4,Collision,1983
11021,464,110,4,Collision,1983
10983,463,137,4,Collision,1983
10962,462,176,4,Collision,1983
10963,462,193,4,Collision,1983
10958,462,105,4,Collision,1983
10961,462,173,4,Collision,1983
10378,441,118,4,Collision,1984
10379,441,175,4,Collision,1984
10380,441,110,3,Accident,1984
10351,440,176,3,Accident,1984
10350,440,118,3,Accident,1984
10423,443,185,3,Accident,1984
10432,443,102,3,Accident,1984
10434,443,183,3,Accident,1984
10435,443,160,3,Accident,1984
10436,443,163,3,Accident,1984
10439,443,176,3,Accident,1984
10407,442,119,3,Accident,1984
10239,436,95,3,Accident,1984
10331,439,175,4,Collision,1984
10332,439,183,4,Collision,1984
10293,438,110,3,Accident,1984
10564,448,123,3,Accident,1984
10624,450,177,3,Accident,1984
10625,450,102,3,Accident,1984
10626,450,176,3,Accident,1984
10627,450,77,3,Accident,1984
10628,450,160,3,Accident,1984
10486,445,156,3,Accident,1984
10491,445,158,3,Accident,1984
10492,445,112,3,Accident,1984
10493,445,189,3,Accident,1984
10465,444,183,3,Accident,1984
10519,446,102,3,Accident,1984
10170,433,122,3,Accident,1985
10177,433,137,3,Accident,1985
10179,433,94,3,Accident,1985
10211,435,182,3,Accident,1985
10190,434,166,3,Accident,1985
10198,434,119,3,Accident,1985
10199,434,158,3,Accident,1985
9939,424,94,3,Accident,1985
9943,424,118,3,Accident,1985
9944,424,181,3,Accident,1985
9942,424,112,3,Accident,1985
9909,423,119,3,Accident,1985
9910,423,137,3,Accident,1985
9914,423,140,3,Accident,1985
9915,423,77,3,Accident,1985
9916,423,175,3,Accident,1985
9959,425,102,3,Accident,1985
9960,425,84,3,Accident,1985
9961,425,112,3,Accident,1985
9962,425,95,3,Accident,1985
9966,425,175,3,Accident,1985
9971,425,160,3,Accident,1985
9838,420,110,3,Accident,1985
9841,420,183,3,Accident,1985
9989,426,102,3,Accident,1985
