accidentId,Accidents,year,injuriesId,Injured
4,Accident,1990,73.0,Injured
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1991,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1992,,
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1993,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
4,Accident,1994,73.0,Injured
